Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm)
26,4,2020,14.2,39,0,7.3
27,4,2020,18.5,39.1,0,8.8
28,4,2020,17.2,37.9,0,7.3
29,4,2020,18,39.6,0,7.2
30,4,2020,21.5,38.6,0,6.9
1,5,2020,17.2,39,0,8
2,5,2020,18.4,37.9,0,8.1
3,5,2020,15.2,36.1,0,7.9
4,5,2020,18.1,36.6,0,7.7
5,5,2020,15.6,38.9,0,7.2
6,5,2020,17.2,41.4,0,7.5
7,5,2020,16.2,40.8,0,8.1
8,5,2020,18,39.3,0,8
9,5,2020,19.2,38.5,0,7.1
10,5,2020,22.3,38,0,8.1
11,5,2020,17.9,37.7,0,7.8
12,5,2020,19.1,35.2,0,8.8
13,5,2020,17,33,0,7.4
14,5,2020,15.9,32.8,0,6.7
15,5,2020,17,34.8,0,7.4
16,5,2020,18.3,36.8,0,7.9
17,5,2020,19.3,38.6,0,9.3
18,5,2020,17.5,38.3,0,9.7
19,5,2020,17.2,32.2,0,9.1
20,5,2020,11.7,30.5,0,6.6
21,5,2020,12.6,33,0,6.9
22,5,2020,16.7,35.8,0,8.7
23,5,2020,16.2,34.3,0,8.3
24,5,2020,16.8,34.5,0,8.1
25,5,2020,16.2,36.2,0,7.4
26,5,2020,14.3,39.2,0,7.4
27,5,2020,19.6,41.4,0,9.5
28,5,2020,22.9,42.4,0,10.2
29,5,2020,23.1,43.8,0,9
30,5,2020,23.5,43,0.25,9.5
31,5,2020,23.5,41.9,0,9
1,6,2020,22.7,41.3,0,8.8
2,6,2020,26.6,40.9,0,8.6
3,6,2020,25,43.3,0,8.6
4,6,2020,25.7,43,0,9.1
5,6,2020,24.1,41.6,0,9.2
6,6,2020,19.2,34.7,0,8.2
7,6,2020,19.7,35.9,0,8.7
8,6,2020,16.4,32.3,0,9
9,6,2020,14.1,34.2,0,8.1
10,6,2020,12.7,39.3,0,7.6
11,6,2020,18,42,0,8.1
12,6,2020,20,42.4,0,9
13,6,2020,20.8,41.7,0,9.9
14,6,2020,17.5,41.2,0,10.1
15,6,2020,20.5,41.8,0,9.9
16,6,2020,18.7,41.8,0,10.5
17,6,2020,22.2,39.9,0,10.2
18,6,2020,20.2,39.7,0,8.5
19,6,2020,17,38.8,0,7.9
20,6,2020,19.4,40.6,0,8.3
21,6,2020,21.9,42,0,8.8
22,6,2020,23.5,42.3,0,9.5
23,6,2020,22,42.8,0,9.3
24,6,2020,21.9,43.2,0,8.1
25,6,2020,24.1,43.7,0,9.8
26,6,2020,21.5,43.1,0,8.7
27,6,2020,21.9,41.6,0,9.5
28,6,2020,23.7,39.9,0,11.6
29,6,2020,24,37.9,0,10.6
30,6,2020,20.4,37.9,0,9.1
1,7,2020,18.6,39.9,0,9.2
2,7,2020,21.6,38.2,0,8.3
3,7,2020,26.7,40.1,0,8.5
4,7,2020,25.4,42.5,0,8.6
5,7,2020,25.9,43.4,0,9.3
6,7,2020,22.7,43.6,0,8.7
7,7,2020,25.7,43.5,0,8
8,7,2020,27.1,43.4,0,9.4
9,7,2020,26.7,42.9,0,8.8
10,7,2020,27.8,44.2,0,9.5
11,7,2020,32,44.3,0,10.8
12,7,2020,30.6,46.3,0,9.4
13,7,2020,28.9,43.4,0,8.4
14,7,2020,27.1,43.6,0,9.2
15,7,2020,26,43.2,0,9.3
16,7,2020,25.2,43.5,0,9
17,7,2020,26.1,42.4,0,8.7
18,7,2020,28,42.8,0,9.5
19,7,2020,32.5,42,0,9.7
20,7,2020,30.4,40.5,0,8.1
21,7,2020,29.5,42.7,0,9.8
22,7,2020,26.5,41.4,0,8
23,7,2020,27,34.5,0,8
24,7,2020,24,39.1,0,8
25,7,2020,23.6,40.1,0,7.1
26,7,2020,25.6,42.8,0,7.3
27,7,2020,25.5,43,0,8.2
28,7,2020,26.9,44.7,0,7.9
29,7,2020,27.9,45.5,0,9.5
30,7,2020,32.5,46.3,0,10.5
31,7,2020,32.2,46.4,0,10.8
1,8,2020,30.9,43.7,0,9.5
2,8,2020,31,42.2,0,8.3
3,8,2020,27.4,44.9,0,8.8
4,8,2020,27,43.4,0,8.8
5,8,2020,27.1,43.8,0,10
6,8,2020,24.2,42.8,0,8.3
7,8,2020,24.8,42.1,0,7.6
8,8,2020,25.7,43.7,0,8.1
9,8,2020,24.8,43.8,0,8
10,8,2020,24.2,43.9,0,8.7
11,8,2020,27.2,43,0,9.2
12,8,2020,26.5,43.2,0,7.3
13,8,2020,27.6,46,0,8.4
14,8,2020,26.1,46.6,0,8.1
15,8,2020,31.4,45.2,0,10
16,8,2020,27.9,45.9,0,9.4
17,8,2020,26.6,45,0.25,8.9
18,8,2020,26.1,44.6,0,7.3
19,8,2020,28,45.4,0,7.7
20,8,2020,23.5,43.3,1.52,10
21,8,2020,25.1,38.4,0,6.1
22,8,2020,27.7,40.7,0,7.8
23,8,2020,28.4,42.9,0,6.7
24,8,2020,27,45.2,0,7.2
25,8,2020,27.5,44,0,6.7
26,8,2020,27.5,43.8,0,6.5
27,8,2020,28.5,44.5,0,8.3
28,8,2020,27.8,43.3,0,6.7
29,8,2020,26.4,40.7,0.51,8.3
30,8,2020,23.4,37.9,0.25,6.3
31,8,2020,20.9,37.9,0,6.2
1,9,2020,26,38.6,0,7.7
2,9,2020,25.5,39.1,0,7
3,9,2020,26.9,41.6,0,7.2
4,9,2020,24.2,45.1,0,6.8
5,9,2020,25.1,45.2,0,8.2
6,9,2020,25.6,44.2,0,6.4
7,9,2020,26.7,42.2,0,9
8,9,2020,22.9,36.9,1.02,7.5
9,9,2020,17.6,31.8,0,6.4
10,9,2020,15.8,32.9,0,5.8
11,9,2020,14.6,31.6,0,3.2
12,9,2020,15.4,35.4,0,4.2
13,9,2020,16.5,38.5,0,5
14,9,2020,20,38.9,0,5.7
15,9,2020,20.9,39.4,0,5.4
16,9,2020,18.6,41.7,0,5.9
17,9,2020,18.3,41.6,0,6
18,9,2020,20.4,40.6,0,5.6
19,9,2020,22.3,39.4,0,6.8
20,9,2020,19.2,40.4,0,5.1
21,9,2020,24.4,39.6,0,6.5
22,9,2020,25.2,38.6,0,5.5
23,9,2020,20.6,39.7,0,5.9
24,9,2020,21.6,40.6,0,6
25,9,2020,21.8,40.1,0,6
26,9,2020,20,39.5,0,6.6
27,9,2020,21.1,38.7,0,5.9
28,9,2020,16.2,39.2,0,5.3
29,9,2020,22.6,38.2,0,8.1
30,9,2020,16.5,39.7,0,4.7
1,10,2020,16.1,41,0,4.5
2,10,2020,15.7,40.4,0,5
3,10,2020,17.5,40.5,0,5.7
4,10,2020,14.6,40,0,4.9
5,10,2020,15.1,39.7,0,4.9
6,10,2020,14.7,39.8,0,5
7,10,2020,14.8,39.5,0,5.1
8,10,2020,16.2,38.5,0,5.4
9,10,2020,16.5,36.9,0,5.1
10,10,2020,18.1,36.1,0,6.8
11,10,2020,17.5,34.3,0,4.6
12,10,2020,13.1,36.5,0,3.8
13,10,2020,13,37.6,0,4.6
14,10,2020,13.6,38.5,0,4.8
15,10,2020,14.7,37.4,0,5.1
16,10,2020,14.7,37.7,0,4.8
17,10,2020,14.3,36.7,0,5.1
18,10,2020,11.6,36.5,0,4.4
19,10,2020,11.9,35.3,0,3.5
20,10,2020,12.6,35.7,0,3.6
21,10,2020,11.9,35,0,4.1
22,10,2020,13.8,34.3,0,3.9
23,10,2020,15.1,34.1,0,3.9
24,10,2020,17,30.3,0,3.6
25,10,2020,18.3,30.5,0,4.8
26,10,2020,6.7,20.8,0,4.7
27,10,2020,6.5,18.6,0,4.1
28,10,2020,2.8,21.2,0,2.6
29,10,2020,4.9,28.1,0,3.3
30,10,2020,8.4,29.3,0,3.6
31,10,2020,11.9,29.4,0,3
1,11,2020,11.8,33.4,0,4.1
2,11,2020,19.5,32.5,0,6.3
3,11,2020,11.9,33.7,0,3.1
4,11,2020,11.7,32.8,0,3.1
5,11,2020,11.4,35.1,0,3.8
6,11,2020,16.6,31.3,0,3.4
7,11,2020,14.5,27.6,0,6.1
8,11,2020,7.3,21.1,0,3.2
9,11,2020,4.6,16.9,0,2.6
10,11,2020,1.7,18.5,0,2.3
11,11,2020,0.4,21.2,0,2.1
12,11,2020,2.7,22.3,0,2.1
13,11,2020,4.4,25,0,2.1
14,11,2020,4,23.9,0,2.7
15,11,2020,3.4,27.1,0,2.5
16,11,2020,4.2,31.3,0,2.5
17,11,2020,7.3,32.5,0,2.5
18,11,2020,9.8,33.7,0,2.4
19,11,2020,10,30.3,0,2.1
20,11,2020,10.7,29.8,0,2.5
21,11,2020,11.1,28.9,0,2.3
22,11,2020,9.2,27.7,0,2.2
23,11,2020,9,27,0,3.1
24,11,2020,7.5,22,0,3.2
25,11,2020,1.2,22.3,0,2
26,11,2020,1.6,22.1,0,2.4
27,11,2020,5,18.1,0,2.3
28,11,2020,0.1,20.1,0,2
29,11,2020,-0.6,22.8,0,2.1
30,11,2020,2.9,22.6,0,3.7
1,12,2020,0.8,21.8,0,1.9
2,12,2020,-1.7,19.9,0,3
3,12,2020,1.9,18.3,0,3
4,12,2020,-1.9,20.1,0,1.7
5,12,2020,-1.8,21.3,0,1.7
6,12,2020,-1.7,21.8,0,2
7,12,2020,-0.8,25.3,0,3.5
8,12,2020,2.7,25.9,0,3.5
9,12,2020,3.3,26.5,0.51,2.2
10,12,2020,8.2,15.1,25.15,0.8
11,12,2020,4.5,20.5,0,1.1
12,12,2020,5.6,20,0,2.1
13,12,2020,1.3,15.7,0,2.5
14,12,2020,1.5,16.4,0,2.2
15,12,2020,-0.4,15.8,0,1.6
16,12,2020,-1.1,17.5,0,1.5
17,12,2020,-0.3,15.9,0,1.2
18,12,2020,-0.6,17.9,0,1.7
19,12,2020,0.3,19.8,0,1.7
20,12,2020,-1.6,20,0,1.6
21,12,2020,0.2,24,0,2
22,12,2020,1.6,22.3,0,1.8
23,12,2020,-0.4,20.1,0,2.5
24,12,2020,0.7,14.1,0,2.1
25,12,2020,0.7,20.6,0,2.2
26,12,2020,0.1,21.7,0,1.7
27,12,2020,0.6,22.1,0,1.8
28,12,2020,7,19.6,0,2.8
29,12,2020,1.9,15.8,0,1.5
30,12,2020,0.5,17.6,0,2.6
31,12,2020,-2.1,13.9,0,1.7
